Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,facebook,flag_img,instagram,linkedin,name,name_t,name_t_t,other_locations,screenshort,subject,twitter,uni_logo,university_name,url,wiki,world_rank,youtube
Semesters,Yes,400-499,JSU,700 Pelham Road North Jacksonville  36265 Alabama United States,700 Pelham Road North Jacksonville 36265-1602 (256) 782 5268 800 231 5291,50-60%,Urban,Yes,Public State,Yes,Non-Profit,+1 (256) 782 5291,Yes,1883,"Yes Jacksonville State University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,054 students in the 2018 academic year.",Not reported,,"Yes  Jacksonville State University's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 637,174 physical volumes, 10,173 physical media, 199,650 digital/electronic medium and 468 licensed digital/electronic databases.",,The friendliest campus in the South,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+1 (256) 782 5781,"United States

",680,https://www.facebook.com/JacksonvilleStateUniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/jacksonvillestateuniversity/,https://www.linkedin.com/school/jacksonville-state-university/,Jacksonville State University,Jacksonville State University,Jacksonville State University,,https://www.4icu.org//i/screenshots/4933.jpg,College of Arts and Sciences | College of Commerce and Business Administration | College of Education and Professional Studies | College of Nursing and Health Sciences | Graduate Studies and Continuing Education,https://twitter.com/JSUNews,https://www.4icu.org//i/logos-seals/4933.png,Jacksonville State University,https://www.4icu.org/reviews/4933.htm,https://en.wikipedia.org/wiki/Jacksonville_State_University,1770,https://www.youtube.com/channel/UCIVM3MyLCd3-jZrCAbASNPg
4-1-4,Yes,300-399,SU,800 Lakeshore Drive Birmingham  35229-2240 Alabama United States,800 Lakeshore Drive Birmingham 35229-2240 (205) 726 3673 800 888 7218,80-90%,Suburban,Yes,Private,Yes,Non-Profit,+1 (205) 726 2754,Yes,1841,"Yes Samford University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,375 students in the 2018 academic year.",Not reported,,"Yes  Samford University's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 284,632 physical volumes, 14,816 physical media, 130,373 digital/electronic medium and 296 licensed digital/electronic databases. Samford University's library has 2 branches.",,"For God, For Learning, Forever",Christian-Baptist Southern Baptist Convention - www.sbc.net,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"5,000-5,999",Yes,+1 (205) 726 2011,"United States

",488,https://www.facebook.com/SamfordUniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/samfordu/,https://www.linkedin.com/school/samford-university/,Samford University,Samford University,Samford University,,https://www.4icu.org//i/screenshots/4937.jpg,School of the Arts | Howard College of Arts and Sciences | Brock School of Business | Beeson Divinity School | Orlean Beeson School of Education | Cumberland School of Law | College of Health Sciences,https://twitter.com/samfordu,https://www.4icu.org//i/logos-seals/4937.png,Samford University,https://www.4icu.org/reviews/4937.htm,https://en.wikipedia.org/wiki/Samford_University,1253,https://www.youtube.com/channel/UCbVKt6kHHcqw5PTgmyCgWOw
Semesters,Yes,50-99,SC,3601 Stillman Boulevard Tuscaloosa  35401 Alabama United States,3601 Stillman Boulevard Tuscaloosa 35401 (205) 366 8817 800 841 5722,30-40%,Urban,Yes,Private,Yes,Non-Profit,+1 (205) 366 8996,Yes,1876,"Yes Stillman College provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 475 students in the 2018 academic year.",Not reported,,"Yes  Stillman College's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 119,000 physical volumes, 6,327 physical media and 88 licensed digital/electronic databases.",,,Christian-Presbyterian Presbyterian Church (USA) - www.pcusa.org,"Yes, based on entrance examinations and students' past academic record and grades",Yes,500-999,Not reported,+1 (205) 366 8817,"United States

",1653,https://www.facebook.com/OfficialStillmanCollege/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/officialstillman/,https://www.linkedin.com/school/stillman-college/,Stillman College,Stillman College,Stillman College,,https://www.4icu.org//i/screenshots/4940.jpg,School of Arts and Sciences | School of Business Administration | School of Education,https://twitter.com/stillmancollege,https://www.4icu.org//i/logos-seals/4940.png,Stillman College,https://www.4icu.org/reviews/4940.htm,https://en.wikipedia.org/wiki/Stillman_College,6089,https://www.youtube.com/channel/UCPgqvCBxIWIJemTZLzVttAA
Semesters,Yes,50-99,TC,627 West Battle Street Talladega  35160 Alabama United States,627 West Battle Street Talladega 35160 (205) 761 6235 866 540 3956,10-20%,Rural,Yes,Private,Yes,Non-Profit,+1 (256) 761 6450,Yes,1867,"Yes Talladega College provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 887 students in the 2018 academic year.",Not reported,,"Yes  Talladega College's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 60,475 physical volumes, 30 physical media, 8,027 digital/electronic medium and 141 licensed digital/electronic databases. Talladega College's library has 1 branch.",,An Education of Distinction,Christian-Protestant United Church of Christ - www.ucc.org,"Yes, based on students' past academic record and grades",Yes,"1,000-1,999",Yes,+1 (256) 761 6100,"United States

",1164,https://www.facebook.com/TheTalladegaCollege/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/thetalladegacollege/,https://www.linkedin.com/school/talladega-college/,Talladega College,Talladega College,Talladega College,,https://www.4icu.org//i/screenshots/4941.jpg,Division of Business Administration | Division of Humanities and Fine Arts | Division of Natural Sciences and Mathematics | Eunice Walker Johnson Division of Social Sciences and Education,https://twitter.com/TalladegaColleg,https://www.4icu.org//i/logos-seals/4941.png,Talladega College,https://www.4icu.org/reviews/4941.htm,https://en.wikipedia.org/wiki/Talladega_College,3185,https://www.youtube.com/channel/UCwe0ts9r3HtmDKT2JlAj4vQ
Semesters,Yes,300-399,OU,7000 Adventist Boulevard NW Huntsville  35896 Alabama United States,"7000 Adventist Boulevard, NW Huntsville 35896 (256) 726 7356 800 824 5312",60-70%,Urban,Yes,Private,Yes,Non-Profit,+1 (256) 726 7154,Yes,1896,"Yes Oakwood University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 1,214 students in the 2018 academic year.",Not reported,,"Yes  Oakwood University's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 71,977 physical volumes, 13,214 physical media, 108,594 digital/electronic medium and 81 licensed digital/electronic databases. Oakwood University's library has 1 branch.",,"Education, Excellence, Eternity",Christian-Adventist Seventh Day Adventist - www.adventist.org,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"1,000-1,999",Yes,+1 (256) 726 7000,"United States

",1279,https://www.facebook.com/OakwoodUniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/oakwoodu/,https://www.linkedin.com/school/oakwoodu/,Oakwood University,Oakwood University,Oakwood University,,https://www.4icu.org//i/screenshots/4936.jpg,Department of Biological Sciences | Department of Business and Information Systems | Department of Chemistry | Department of Communication | Department of Education | Department of English and Foreign Languages | Department of Family and Consumer Science | Department of Health and Physical Education | Department of History and Political Science | Department of Math and Computer Sciences | Department of Music | Department of Nursing | Department of Psychology | Department of Religion and Theology | Department of Social Work,https://twitter.com/OakwoodU,https://www.4icu.org//i/logos-seals/4936.png,Oakwood University,https://www.4icu.org/reviews/4936.htm,https://en.wikipedia.org/wiki/Oakwood_University,3599,https://www.youtube.com/channel/UCiHw7sFQ-n6Xz2fVTqsaU1Q
Semesters,Yes,"1,000-1,499",TROY,600 University Avenue Troy  36082-0001 Alabama United States,"012 Hawkins Hall, Troy, Alabama 36082 Troy 36082 3348086137",80-90%,Rural,Yes,Public State,Yes,Non-Profit,+1 (334) 670 3735,Yes,1887,"Yes Troy University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,387 students in the 2018 academic year.",Not reported,,"Yes  Troy University's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 386,553 physical volumes, 13,553 physical media, 173,998 digital/electronic medium and 298 licensed digital/electronic databases. Troy University's library has 2 branches.",,Alabama's International University,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"20,000-24,999",Yes,+1 (800) 414 5756,"United States

",505,https://www.facebook.com/TroyUniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/troyuniversity/,https://www.linkedin.com/school/troy-university/,Troy University,Troy University,Troy University,"Dothan, Montgomery, Phenix City",https://www.4icu.org//i/screenshots/4943.jpg,College of Arts and Sciences | College of Communication and Fine Arts | College of Education | College of Health and Human Services | General Studies | Sorrell College of Business,https://twitter.com/TROYUNews,https://www.4icu.org//i/logos-seals/4943.png,Troy University,https://www.4icu.org/reviews/4943.htm,https://en.wikipedia.org/wiki/Troy_University,1293,https://www.youtube.com/channel/UCPCkKUpqaU7c7t0ZVIoee-Q
Semesters,Yes,200-299,TU,"Kresge Center, 3rd Floor Tuskegee  36088-1920 Alabama United States",102 Old Administration Building Tuskegee 36088 (334) 727 8500 800 622 6531,50-60%,Rural,Yes,Private,Yes,Non-Profit,+1 (334) 727 5276,Yes,1881,"Yes Tuskegee University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 1,850 students in the 2018 academic year.",Not reported,,"Yes  Tuskegee University's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 374,821 physical volumes, 1,463 physical media, 842 digital/electronic medium and 254 licensed digital/electronic databases. Tuskegee University's library has 5 branches.",,"Scientia Principatus Opera Knowledge, Nation, Deeds",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"3,000-3,999",Yes,+1 (334) 727 8011,"United States

",544,https://www.facebook.com/TUSKEGEEUNIVERSITY/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/tuskegeeuniversity/,https://www.linkedin.com/school/tuskegee-university/,Tuskegee University,Tuskegee University,Tuskegee University,,https://www.4icu.org//i/screenshots/4946.jpg,"College of Agricultural, Environmental and Natural Sciences | College of Business and Information Science | College of Engineering, Architecture and Physical Sciences | College of Liberal Arts and Education | College of Veterinary Medicine, Nursing and Allied Health",https://twitter.com/TuskegeeUniv,https://www.4icu.org//i/logos-seals/4946.png,Tuskegee University,https://www.4icu.org/reviews/4946.htm,https://en.wikipedia.org/wiki/Tuskegee_University,1408,https://www.youtube.com/channel/UCi36YWfAxvWPVWqRzoJCL2Q
Semesters,Yes,"2,500-2,999",UAB,1720 2nd Avenue South Birmingham  35294-0110 Alabama United States,"260 HUC, 1530 3rd Avenue South Birmingham 35294-1150 (205) 934 8221 800 421 8743",90-100%,Urban,Yes,Public State,Yes,Non-Profit,+1,Yes,1969,"Yes University of Alabama at Birmingham provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,980 students in the 2018 academic year.",Yes,,"Yes  University of Alabama at Birmingham's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 884,879 physical volumes, 137,269 physical media, 1,287 digital/electronic medium and 433 licensed digital/electronic databases. University of Alabama at Birmingham's library has 1 branch.",,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"20,000-24,999",Yes,+1 (205) 934 4011,"United States

",121,https://www.facebook.com/UAB.edu/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/exploreuab/,https://www.linkedin.com/school/uab/,University of Alabama at Birmingham,University of Alabama at Birmingham,University of Alabama at Birmingham,,https://www.4icu.org//i/screenshots/4948.jpg,College of Arts and Sciences including School of Education | School of Business | School of Dentistry | School of Engineering | School of Health Professions | School of Medicine | School of Nursing | School of Optometry | School of Public Health | Graduate School,https://twitter.com/uabnews,https://www.4icu.org//i/logos-seals/4948.png,University of Alabama at Birmingham,https://www.4icu.org/reviews/4948.htm,https://en.wikipedia.org/wiki/University_of_Alabama_at_Birmingham,242,https://www.youtube.com/channel/UCOMZCCUBnjdhjhtNAUfkGqg
Semesters,Yes,"2,000-2,499",UA,739 University Boulevard Tuscaloosa  35487-0166 Alabama United States,1707 Ridgemont Dr Tuscaloosa 35404 2053487207 800 933 2262,50-60%,Urban,Yes,Public State,Yes,Non-Profit,+1 (205) 348 9046,Yes,1831,"Yes The University of Alabama provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 8,262 students in the 2018 academic year.",Not reported,,"Yes  The University of Alabama's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 2,648,650 physical volumes, 193,531 physical media, 157,956 digital/electronic medium and 600 licensed digital/electronic databases. The University of Alabama's library has 6 branches.",,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"40,000-44,999",Yes,+1 (205) 348 6010,"United States

",96,https://www.facebook.com/universityofalabama/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/univofalabama/,https://www.linkedin.com/school/university-of-alabama/,The University of Alabama,The University of Alabama,The University of Alabama,,https://www.4icu.org//i/screenshots/4950.jpg,Capstone College of Nursing | College of Arts and Sciences | College of Communication and Information Sciences | College of Education | College of Engineering | College of Human Environmental Sciences | Culverhouse College of Business | School of Social Work | College of Community Health Sciences | College of Continuing Studies | School of Law,https://twitter.com/UofAlabama,https://www.4icu.org//i/logos-seals/4950.png,The University of Alabama,https://www.4icu.org/reviews/4950.htm,https://en.wikipedia.org/wiki/University_of_Alabama,161,https://www.youtube.com/channel/UCrm2bWDOGbvbW7Se_9o0m1g
Semesters,Yes,200-299,UM,75 College Drive Montevallo  35115-6000 Alabama United States,Station 6030 Montevallo 35115-6030 (205) 6656030 800 292 4349,40-50%,Suburban,Yes,Public State,Yes,Non-Profit,+1 (205) 665 6032,Yes,1896,"Yes University of Montevallo provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 1,337 students in the 2018 academic year.",Not reported,,"Yes  University of Montevallo's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 184,681 physical volumes, 4,593 physical media, 38,070 digital/electronic medium and 125 licensed digital/electronic databases.",,You Belong at Montevallo,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"2,000-2,999",Yes,+1 (205) 665 6000,"United States

",1093,https://www.facebook.com/UMontevallo/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/montevallo/,https://www.linkedin.com/school/universityofmontevallo/,University of Montevallo,University of Montevallo,University of Montevallo,,https://www.4icu.org//i/screenshots/4952.jpg,College of Arts and Sciences | College of Education and Human Development | College of Fine Arts | Michael E. Stephens College of Business,https://twitter.com/montevallo,https://www.4icu.org//i/logos-seals/4952.png,University of Montevallo,https://www.4icu.org/reviews/4952.htm,https://en.wikipedia.org/wiki/University_of_Montevallo,2960,https://www.youtube.com/channel/UCtdrBwo9wbVm-jS_TpE_aMQ
Semesters,Yes,200-299,UNA,One Harrison Plaza Florence  35632-0001 Alabama United States,UNA - Box 5011 Florence 35632-0001 (256) 765 4608 1-800-TALK-UNA,60-70%,Urban,Yes,Public State,Yes,Non-Profit,+1 (256) 765 5404,Yes,1830,"Yes University of North Alabama provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,330 students in the 2018 academic year.",Not reported,,"Yes  University of North Alabama's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 221,985 physical volumes, 35,707 physical media, 94,460 digital/electronic medium and 187 licensed digital/electronic databases. University of North Alabama's library has 3 branches.",,Veritas Lux. Orbis Terrarum Truth and Light of the World,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"8,000-8,999",Yes,+1 (256) 765 4100,"United States

",720,https://www.facebook.com/northalabama/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/north_alabama/,https://www.linkedin.com/school/university-of-north-alabama/,University of North Alabama,University of North Alabama,University of North Alabama,,https://www.4icu.org//i/screenshots/4953.jpg,College of Arts and Sciences | College of Business | College of Education and Human Sciences | Anderson College of Nursing and Health Professions,https://twitter.com/north_alabama,https://www.4icu.org//i/logos-seals/4953.png,University of North Alabama,https://www.4icu.org/reviews/4953.htm,https://en.wikipedia.org/wiki/University_of_North_Alabama,1879,https://www.youtube.com/channel/UCCUGQYr3j2SRcl02_21EF-Q
Semesters,Yes,"1,000-1,499",USA,307 N University Boulevard Mobile  36688-0002 Alabama United States,2500 Meisler Hall Mobile 36688-0002 (251) 460 6141 800 872 5247,70-80%,Urban,Yes,Public State,Yes,Non-Profit,+1 (251) 460 6054,Yes,1963,"Yes University of South Alabama provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 3,431 students in the 2018 academic year.",Yes,,"Yes  University of South Alabama's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 369,056 physical volumes, 45,819 physical media, 22,502 digital/electronic medium and 199 licensed digital/electronic databases. University of South Alabama's library has 2 branches.",,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"15,000-19,999",Yes,+1 (251) 460 6101,"United States

",596,https://www.facebook.com/theuniversityofsouthalabama/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/uofsouthalabama/,https://www.linkedin.com/school/university-of-south-alabama/,University of South Alabama,University of South Alabama,University of South Alabama,,https://www.4icu.org//i/screenshots/4954.jpg,College of Allied Health Professions | College of Arts and Sciences | Mitchell College of Business | College of Education and Professional Studies | College of Engineering | College of Medicine | College of Nursing | School of Computing | Honors College,https://twitter.com/UofSouthAlabama,https://www.4icu.org//i/logos-seals/4954.png,University of South Alabama,https://www.4icu.org/reviews/4954.htm,https://en.wikipedia.org/wiki/University_of_South_Alabama,1546,https://www.youtube.com/channel/UCzNalZoWLwTAkoKocSPZ0WQ
Semesters,Yes,500-599,UAH,301 Sparkman Drive Huntsville  35899 Alabama United States,301 Sparkman Drive Huntsville 35899 (256) 824 2773 800 824 2255,80-90%,Urban,Yes,Public State,Yes,Non-Profit,+1,Yes,1969 Origins date back to 1950,"Yes The University of Alabama in Huntsville provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,437 students in the 2018 academic year.",Not reported,,"Yes  University of Alabama in Huntsville's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 209,273 physical volumes, 14,419 physical media, 2,559 digital/electronic medium and 155 licensed digital/electronic databases.",,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"10,000-14,999",Yes,+1 (256) 824 1000,"United States

",267,https://www.facebook.com/UAHuntsville/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/uahuntsville/,https://www.linkedin.com/school/university-of-alabama-in-huntsville/,The University of Alabama in Huntsville,The University of Alabama in Huntsville,The University of Alabama in Huntsville,,https://www.4icu.org//i/screenshots/4949.jpg,"College of Arts, Humanities and Social Sciences | College of Business | College of Education | College of Engineering | College of Nursing | College of Professional and Continuing Studies | College of Science | Honors College | Graduate School",https://twitter.com/uahuntsville,https://www.4icu.org//i/logos-seals/4949.png,The University of Alabama in Huntsville,https://www.4icu.org/reviews/4949.htm,https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville,675,https://www.youtube.com/channel/UCbE8ptxETBdLv8Lphel1WeQ
Semesters,Yes,50-99,APU,4101 University Drive Anchorage  99508 Alaska United States,4101 University Drive Anchorage 99508 (907) 564 8248 800 252 7528,80-90%,Urban,Yes,Private,Yes,Non-Profit,+1 (907) 562 4276,Yes,1957,"Yes Alaska Pacific University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 164 students in the 2018 academic year.",Not reported,,Yes,,,Christian-Methodist United Methodist Church - www.gbhem.org,"Yes, based on entrance examinations and students' past academic record and grades",Not reported,500-999,Not reported,+1 (907) 561 1266,"United States

",1149,https://www.facebook.com/Alaskapacific/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/alaskapacific/,https://www.linkedin.com/school/alaska-pacific-university/,Alaska Pacific University,Alaska Pacific University,Alaska Pacific University,,https://www.4icu.org//i/screenshots/4957.jpg,Institute of Health and Wellness | Institute of Business and Public Policy | Institute of Culture and Environment,https://twitter.com/AlaskaPacificU,https://www.4icu.org//i/logos-seals/4957.png,Alaska Pacific University,https://www.4icu.org/reviews/4957.htm,https://en.wikipedia.org/wiki/Alaska_Pacific_University,3152,https://www.youtube.com/channel/UChQAbWAq9YazdTbphibx9GA
Semesters,Yes,"1,000-1,499",UAA,3211 Providence Drive Anchorage  99508-8046 Alaska United States,3901 Old Seward Hwy Anchorage 99503 (907) 786 1480,80-90%,Urban,Yes,Public State,Yes,Non-Profit,+1 (907) 786 4888,Yes,1954,"Yes University of Alaska Anchorage provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 977 students in the 2018 academic year.",Not reported,,"Yes  University of Alaska Anchorage's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 608,193 physical volumes, 511,564 physical media, 10,099 digital/electronic medium and 199 licensed digital/electronic databases. University of Alaska Anchorage's library has 4 branches.",,,None,"Yes, based on students' past academic record and grades",Yes,"20,000-24,999",Yes,+1 (907) 786 1800,"United States

",1477,https://www.facebook.com/UAAnchorage/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/uaaphotos/,https://www.linkedin.com/school/university-of-alaska-anchorage/,University of Alaska Anchorage,University of Alaska Anchorage,University of Alaska Anchorage,,https://www.4icu.org//i/screenshots/4960.jpg,College of Arts and Sciences | College of Business and Public Policy | College of Education | College of Health | Community and Technical College | Graduate Division | School of Engineering | School of Nursing | School of Social Work | University Honors College,https://twitter.com/uaanchorage,https://www.4icu.org//i/logos-seals/4960.png,University of Alaska Anchorage,https://www.4icu.org/reviews/4960.htm,https://en.wikipedia.org/wiki/University_of_Alaska_Anchorage,4488,https://www.youtube.com/channel/UC08uAzWmaBxMcYPAYRV6zKA
Semesters,Yes,100-199,UAS,11066 Auke Lake Way Juneau  99801-8697 Alaska United States,11066 Auke Lake Way Juneau 99801-8681 (907) 796-6100 877 465 4827,60-70%,Rural,Yes,Public State,Yes,Non-Profit,+1 (907) 796 6365,Yes,1956,"Yes University of Alaska Southeast provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 377 students in the 2018 academic year.",Not reported,,"Yes  University of Alaska Southeast's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 152,804 physical volumes, 8,012 physical media, 13,134 digital/electronic medium and 124 licensed digital/electronic databases. University of Alaska Southeast's library has 1 branch.",,"Learn, Engage, Change",None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"4,000-4,999",Yes,+1 (907) 796 6100,"United States

",1267,https://www.facebook.com/UASALASKA/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/uasoutheast/,https://www.linkedin.com/school/university-of-alaska-southeast/,University of Alaska Southeast,University of Alaska Southeast,University of Alaska Southeast,"Ketchikan, Sitka",https://www.4icu.org//i/screenshots/4962.jpg,School of Arts and Sciences | School of Management | School of Career Education | School of Education,https://twitter.com/uasoutheast,https://www.4icu.org//i/logos-seals/4962.png,University of Alaska Southeast,https://www.4icu.org/reviews/4962.htm,https://en.wikipedia.org/wiki/University_of_Alaska_Southeast,3530,https://www.youtube.com/channel/UCg8oxNrgayvBO8I84uVnZZQ
Semesters,Yes,"2,500-2,999",ASU Tempe,University Drive and Mill Avenue Tempe  85287 Arizona United States,Box 870112 Tempe  (480) 965 2688,80-90%,Urban,Yes,Public State,Yes,Non-Profit,+1 (480) 965 3610,Yes,1885,"Yes Arizona State University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 15,779 students in the 2018 academic year.",Not reported,,"Yes  Arizona State University-Tempe's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 2,636,302 physical volumes, 1,035,082 physical media, 366,696 digital/electronic medium and 851 licensed digital/electronic databases. Arizona State University-Tempe's library has 8 branches.",,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"over-45,000",Yes,+1 (480) 965 2100,"United States

",23,https://www.facebook.com/arizonastateuniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/arizonastateuniversity/,https://www.linkedin.com/school/arizona-state-university/,Arizona State University,Arizona State University,Arizona State University,"Mesa, Phoenix, Glendale, Lake Havasu City",https://www.4icu.org//i/screenshots/4964.jpg,College of Design | College of Liberal Arts and Sciences | Herberger College of the Arts | Ira A. Fulton School of Engineering | Mary Lou Fulton College of Education | Sandra Day O'Connor College of Law | College of Technology and Innovation | School of Earth and Space Exploration | School of Sustainability | W.P. Carey School of Business,https://twitter.com/asu,https://www.4icu.org//i/logos-seals/4964.png,Arizona State University,https://www.4icu.org/reviews/4964.htm,https://en.wikipedia.org/wiki/Arizona_State_University,27,https://www.youtube.com/channel/UC027E0kdtyo0h4lLGROg-dA
Semesters,Yes,400-499,ERAU,600 South Clyde Morris Boulevard Daytona Beach  32114-3900 Florida United States,"600 S. Clyde Morris Blvd. Daytona Beach, 32114 3862266198 800-862-2416",60-70%,Urban,Yes,Private,Yes,Non-Profit,+1,Yes,1925,"Yes Embry-Riddle Aeronautical University provides on-campus housing. The total dormitory capacity, whether on or off campus, was about 2,331 students in the 2018 academic year.",Not reported,,"Yes  Embry-Riddle Aeronautical University-Daytona Beach's library collection is comprised of both physical (i.e. books, medium etc.) and digital/electronic items. In 2018 the library has reported 53,116 physical volumes, 1,922 physical media, 184 digital/electronic medium and 172 licensed digital/electronic databases.",,Leading the World in Aviation and Aerospace Education since 1926,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"6,000-6,999",Yes,+1 (386) 226 6100,"United States

",200,https://www.facebook.com/EmbryRiddleUniversity/,https://www.4icu.org//i/flags/United-States.png,https://www.instagram.com/embryriddle/,https://www.linkedin.com/school/embry-riddle-aeronautical-university/,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,Prescott and 130 other locations,https://www.4icu.org//i/screenshots/4967.jpg,College of Arts and Sciences | College of Aviation | College of Business | College of Engineering | College of Security and Intelligence,https://twitter.com/EmbryRiddle,https://www.4icu.org//i/logos-seals/4967.png,Embry-Riddle Aeronautical University,https://www.4icu.org/reviews/4967.htm,https://en.wikipedia.org/wiki/Embry%E2%80%93Riddle_Aeronautical_University,491,https://www.youtube.com/channel/UC-kUm4YcPJhB6Y1CXae98ZA
