Academic_Calendar,Academic_Counseling,Academic_Staff,Acronym,Address,Admission_Office,Admission_Rate,Campus_Setting,Career_Services,Control_Type,Distance_Learning,Entity_Type,Fax,Financial_Aids,Founded,Housing,Institutional_Hospital,International_students,Library,Local_students,Motto,Religious_Affiliation,Selection_Type,Sport_Facilities,Student_Enrollment,Study_Abroad,Tel,country_name,country_rank,flag_img,name,name_t,name_t_t,other_locations,screenshort,subject,uni_logo,university_name,url,wiki,world_rank
Semesters,Not reported,"1,000-1,499",UoN,University Drive Callaghan  2308 New South Wales Australia,"Student Services Building, University Drive Callaghan 2308 (0)2 9215 0000",Not reported,Suburban,Not reported,Public,Yes,Non-Profit,+61 (0)2 4985 4200,Yes,1965 Origins date back to 1951,Yes,Not reported,,Yes,,I look ahead,None,"Yes, based on entrance examinations",Yes,"30,000-34,999",Yes,+61 (0)2 4921 5000,"Australia

",20,https://www.4icu.org//i/flags/Australia.png,The University of Newcastle,The University of Newcastle,The University of Newcastle,"Ourimbah, Port Macquarie, Singapore, Sydney",https://www.4icu.org//i/screenshots/125.jpg,Department of Business and Law | Department of Education and Arts | Department of Engineering and Built Environment | Department of Health | Department of Science and Information Technology,https://www.4icu.org//i/logos-seals/125.png,The University of Newcastle,https://www.4icu.org/reviews/125.htm,https://en.wikipedia.org/wiki/University_of_Newcastle_(Australia),367
Semesters,Not reported,300-399,ABKW,Schillerplatz 3 Vienna  1010 Vienna Austria,Schillerplatz 3 Vienna 1010 (1) 588 16 0,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+43 (1) 587 79 77,Not reported,"1692 The Academy was officialy recognised by the Emperor in 1692, but shortly after, in 1714 was closed. It was reestablsihed as Imperial Court Academy. It obtained status of University in 1998, still keeping the Academy in name.",Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"1,000-1,999",Yes,+43 (1) 58816 0,"Austria

",28,https://www.4icu.org//i/flags/Austria.png,Academy of Fine Arts Vienna,Academy of Fine Arts Vienna,Academy of Fine Arts Vienna,,https://www.4icu.org//i/screenshots/138.jpg,Institute for Fine Arts | Institute for Art Theory and Cultural Studies | Institute for Conservation and Restoration | Institute for Natural Sciences and Technologies in Art | Institute for Secondary School Teaching Degrees | Institute for Art and Architecture,https://www.4icu.org//i/logos-seals/138.png,Akademie der Bildenden Künste Wien,https://www.4icu.org/reviews/138.htm,https://en.wikipedia.org/wiki/Academy_of_Fine_Arts_Vienna,3850
Semesters,Not reported,800-899,FH Salzburg,Urstein Süd 1 Puch bei Hallein  5412 Salzburg Austria,Urstein Sued 1 Puch 5412 (50) 2211 0,50-60%,Suburban,Not reported,Public,Not reported,Non-Profit,+43 (50) 2211 1099,Not reported,1995,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"2,000-2,999",Yes,+43 (50) 2211 0,"Austria

",25,https://www.4icu.org//i/flags/Austria.png,Salzburg University of Applied Sciences,Salzburg University of Applied Sciences,Salzburg University of Applied Sciences,Kuchl,https://www.4icu.org//i/screenshots/144.jpg,"Department of Engineering | Department of Business and Social Sciences | Department of Design, Media and Arts | Department of Health Studies",https://www.4icu.org//i/logos-seals/144.png,Fachhochschule Salzburg,https://www.4icu.org/reviews/144.htm,https://de.wikipedia.org/wiki/Fachhochschule_Salzburg,3172
Semesters,Not reported,600-699,FH Kärnten,Villacher Strasse 1 Spittal an der Drau  9800 Carinthia Austria,Europastrasse 4 Villach 9524 (5) 90500 7040 (5) 90500 7040,Not available,Suburban,Yes,Private,Yes,Non-Profit,+43 (5) 90500 1110,Yes,1995,Not reported,Not reported,,Yes,,Sprungbrett in die Zukunft Kickstart your future!,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"1,000-1,999",Yes,+43 (5) 90500 0,"Austria

",29,https://www.4icu.org//i/flags/Austria.png,Carinthia University of Applied Sciences,Carinthia University of Applied Sciences,Carinthia University of Applied Sciences,Feldkirch and Klagenfurt,https://www.4icu.org//i/screenshots/143.jpg,School of Civil Engineering and Architecture | School of Engineering and IT | School of Health Sciences and Social Work | School of Management,https://www.4icu.org//i/logos-seals/143.png,Fachhochschule Kärnten,https://www.4icu.org/reviews/143.htm,https://de.wikipedia.org/wiki/FH_K%C3%A4rnten,4022
Semesters,Not reported,500-599,FH Krems,Piaristengasse 1 Krems an der Donau  3500 Lower Austria Austria,Piaristengasse 1 Krems 3500 (2732) 802,Not reported,Suburban,Yes,Private,Not reported,Non-Profit,+43 (2732) 802 4,Not reported,1994 Gained official status of University of Applied Sciences in 2002,Yes,Not reported,,Yes,,The art of applied sciences Our students are shaping the future.,None,"Yes, based on entrance examinations",Yes,"2,000-2,999",Yes,+43 (2732) 802,"Austria

",30,https://www.4icu.org//i/flags/Austria.png,IMC University of Applied Sciences Krems,IMC University of Applied Sciences Krems,IMC University of Applied Sciences Krems,,https://www.4icu.org//i/screenshots/150.jpg,Department of Business | Department of Health | Department of Life Sciences,https://www.4icu.org//i/logos-seals/150.png,IMC Fachhochschule Krems,https://www.4icu.org/reviews/150.htm,https://en.wikipedia.org/wiki/IMC_University_of_Applied_Sciences_Krems,4035
Semesters,Not reported,50-99,KU Linz,Bethlehemstrasse 20 Linz  4020 Upper Austria Austria,Bethlehemstrasse 20 Linz 4020 (732) 784293 4100,Not available,Urban,Not reported,Private,Not reported,Non-Profit,+43 (732) 7842 934 155,Not reported,1971 Origins date back to 1672. In 1971 the School of Philosophy and Theology Linz was renamed as College of Philosophy and Theology of the Diocese of Linz. The name was changed to Catholic Private University Linz in 2014.,Not reported,Not reported,,Yes,,,Christian-Catholic,"None, open admission policy",Not reported,250-499,Yes,+43 (732) 7842 93,"Austria

",54,https://www.4icu.org//i/flags/Austria.png,Catholic Private University Linz,Catholic Private University Linz,Catholic Private University Linz,,https://www.4icu.org//i/screenshots/155.jpg,Department of Catholic Theology | Institute for History and Theory of Art and Philosophy,https://www.4icu.org//i/logos-seals/155.png,Katholische Privat-Universität Linz,https://www.4icu.org/reviews/155.htm,https://en.wikipedia.org/wiki/Catholic_Private_University_Linz,6169
Semesters,Not reported,900-999,MUL,Franz-Josef-Strasse 18 Leoben  8700 Styria Austria,Franz Josef-Strasse 18 Leoben 8700 (3842) 402 7040,Not available,Urban,Not reported,Public,Not reported,Non-Profit,+43 (3842) 402 7012,Not reported,1904 Established in 1874 as Styrian Corporate School of Mining. Name and status were changed in 1904 to University of Mining. Known as Montanuniversität Leoben since 1975.,Yes,Not reported,,Yes,,,None,"None, open admission policy",Yes,"3,000-3,999",Yes,+43 (3842) 402 0,"Austria

",16,https://www.4icu.org//i/flags/Austria.png,University of Leoben,University of Leoben,University of Leoben,,https://www.4icu.org//i/screenshots/158.jpg,"Department of General, Analytical and Physical Chemistry | Department of Applied Geosciences and Geophysics | Department of Polymer Engineering and Science | Department of Mathematics and Information Technology | Department of Metallurgy | Department of Mineral Resources Engineering | Department of Petroleum Engineering | Department of Product Engineering | Department of of Environmental and Energy Process Engineering | Department of Materials Science | Department of Economic and Business Management | Zentrum am Berg Department | Institute of Electrical Engineering | Institute of Mechanics | Institute of Physics",https://www.4icu.org//i/logos-seals/158.png,Montanuniversität Leoben,https://www.4icu.org/reviews/158.htm,https://en.wikipedia.org/wiki/University_of_Leoben,2109
Semesters,Not reported,200-299,UMIT,Eduard Wallnöfer-Zentrum 1 Hall  6060 Tyrol Austria,Eduard-Wallnöfer-Zentrum 1 Hall 6060 (50) 8648 3837,Not reported,Suburban,Not reported,Private,Not reported,Non-Profit,+43 (50) 8648 673001,Yes,2001 Established in 2001 under the name of Private University of Medical Computer Science and Technology Tirol. In 2004 the University changed to its current name,Yes,Not reported,,Yes,,The health and life sciences university,None,Not reported,Yes,"1,000-1,999",Yes,+43 (50) 8648 3000,"Austria

",38,https://www.4icu.org//i/flags/Austria.png,"UMIT Private University for Health Sciences, Medical Informatics and Technology","UMIT Private University for Health Sciences, Medical Informatics and Technology","UMIT Private University for Health Sciences, Medical Informatics and Technology",,https://www.4icu.org//i/screenshots/159.jpg,Department of Biomedical Computer Sciences and Mechatronics | Department of Medical Sciences and Management | Department of Nursing Sciences and Gerontology | Department of Public Health and Health Technology Assessment,https://www.4icu.org//i/logos-seals/159.png,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik",https://www.4icu.org/reviews/159.htm,"https://de.wikipedia.org/wiki/Private_Universit%C3%A4t_f%C3%BCr_Gesundheitswissenschaften,_Medizinische_Informatik_und_Technik",4584
Semesters,Not reported,"3,000-3,499",KFU Graz,Universitaetsplatz 3 Graz  8010 Styria Austria,Universitaetsplatz 3 Graz 8010 (316) 380 2192 (316) 380 1066,Not reported,Urban,Yes,Public,Yes,Non-Profit,+43 (316) 380 9140,Yes,1585,Yes,Not reported,,Yes,,We work for tomorrow,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+43 (316) 380 0,"Austria

",6,https://www.4icu.org//i/flags/Austria.png,University of Graz,University of Graz,University of Graz,,https://www.4icu.org//i/screenshots/163.jpg,"Department of Catholic Theology | Department of Law | Department of Social Sciences and Economics | Department of Humanities | Department of Natural Sciences | Department of Environmental, Regional and Educational Sciences",https://www.4icu.org//i/logos-seals/163.png,Karl-Franzens-Universität Graz,https://www.4icu.org/reviews/163.htm,https://en.wikipedia.org/wiki/University_of_Graz,813
Semesters,Not reported,"3,000-3,499",LFU,Innrain 52 Innsbruck  6020 Tyrol Austria,Innrain 52 Innsbruck 6020,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+43 (512) 507 2951,Not reported,1669 In 1782 it was reduced to a mere lyceum and in 1826 it was reastablished as University.,Not reported,Not reported,,Yes,,,None,Not reported,Yes,"25,000-29,999",Yes,+43 (512) 507 0,"Austria

",3,https://www.4icu.org//i/flags/Austria.png,University of Innsbruck,University of Innsbruck,University of Innsbruck,,https://www.4icu.org//i/screenshots/164.jpg,"Department of Catholic Theology | Department of Business Administration | Department of Law | Department of Political Science and Sociology | Department of Economics and Statistics | Department of Education | Department of Arts and Humanities | Department of Philology and Cultural Studies | Department of Psychology and Sports Science | Department of Biology | Department of Chemistry and Pharmacy | Department of Geo- and Atmospheric Sciences | Department of Mathematics, Computer Science and Physics | Department of Architecture | Department of Civil Engineering",https://www.4icu.org//i/logos-seals/164.png,Universität Innsbruck,https://www.4icu.org/reviews/164.htm,https://en.wikipedia.org/wiki/University_of_Innsbruck,387
Semesters,Not reported,"2,000-2,499",TU Graz,Rechbauerstrasse 12 Graz  8010 Styria Austria,Rechbauerstrasse 12I1 Graz 8010 (316) 873 6419,Not available,Urban,Yes,Public,Yes,Non-Profit,+43 (316) 873 6009,Yes,1874 Origins date back to 1811. The name Technische Universität Graz is obtained in 1975.,Not reported,Not reported,,Yes,,Wissen - Technik - Leidenschaft Science - Passion - Technology,None,"None, open admission policy",Not reported,"10,000-14,999",Yes,+43 (316) 873 0,"Austria

",4,https://www.4icu.org//i/flags/Austria.png,Graz University of Technology,Graz University of Technology,Graz University of Technology,,https://www.4icu.org//i/screenshots/161.jpg,"Department of Architecture | Department of Civil Engineering | Department of Mechanical Engineering and Economic Sciences | Department of Electrical and Information Engineering | Department of Mathematics, Physics and Geodesy | Department of Technical Chemistry, Chemical and Process Engineering and Biotechnology | Department of Computer Science and Biomedical Engineering",https://www.4icu.org//i/logos-seals/161.png,Technische Universität Graz,https://www.4icu.org/reviews/161.htm,https://en.wikipedia.org/wiki/Graz_University_of_Technology,579
Semesters,Not reported,"3,000-3,499",TU Wien,Karlsplatz 13 Vienna  1040 Vienna Austria,Karlsplatz 13 Vienna 1040 (1) 58801 41188,Not available,Urban,Not reported,Public,Yes,Non-Profit,+43 (1) 58801 40199,Not reported,1872 Origins date back to 1815 as the Imperial and Royal Polytechnic Institute,Not reported,Not reported,,Yes,,Technik für Menschen Technology for People,None,"Yes, based on entrance examinations",Yes,"25,000-29,999",Yes,+43 (1) 58801 0,"Austria

",2,https://www.4icu.org//i/flags/Austria.png,Vienna University of Technology,Vienna University of Technology,Vienna University of Technology,,https://www.4icu.org//i/screenshots/162.jpg,Department of Architecture and Regional Planning | Department of Civil Engineering | Department of Mechanical and Industrial Engineering | Department of Electrical Engineering and Information Technology | Department of Mathematics and Geoinformation | Department of Physics | Department of Chemistry | Department of Informatics,https://www.4icu.org//i/logos-seals/162.png,Technische Universität Wien,https://www.4icu.org/reviews/162.htm,https://en.wikipedia.org/wiki/TU_Wien,216
Semesters,Not reported,"1,500-1,999",JKU,Altenbergerstrasse 69 Linz  4040 Upper Austria Austria,Altenberger Strasse 69 Linz 4040 0732 2468 3013,Not available,Suburban,Not reported,Public,Yes,Non-Profit,+43 (732) 2468 3365,Not reported,1966,Not reported,Not reported,,Yes,,,None,"None, open admission policy",Yes,"15,000-19,999",Yes,+43 (732) 2468 0,"Austria

",5,https://www.4icu.org//i/flags/Austria.png,Johannes Kepler University Linz,Johannes Kepler University Linz,Johannes Kepler University Linz,,https://www.4icu.org//i/screenshots/166.jpg,Department of Law | Department of Social and Economic Sciences | Department of Engineering and Natural Sciences,https://www.4icu.org//i/logos-seals/166.png,Johannes Kepler Universität Linz,https://www.4icu.org/reviews/166.htm,https://en.wikipedia.org/wiki/Johannes_Kepler_University_Linz,759
Semesters,Not reported,500-599,UMS,Mirabellplatz 1 Salzburg  5020 Salzburg Austria,Mirabellplatz 1 Salzburg 5020 (662) 6198 3322,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+43 (662) 6198 2009,Not reported,1841 Recognised as a Conservatory under public law in 1914.,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Not reported,"1,000-1,999",Yes,+43 (662) 6198 0,"Austria

",24,https://www.4icu.org//i/flags/Austria.png,Mozarteum University Salzburg,Mozarteum University Salzburg,Mozarteum University Salzburg,Innsbruck,https://www.4icu.org//i/screenshots/167.jpg,"Department for Composition and Music Theory | Department for Keyboard Studies | Department for String Studies | Department for Brass, Wind and Percussion Studies | Department for Vocal Studies | Department for Opera | Department for Musicology | Department for Music Education in Salzburg | Department for Music Education in Innsbruck | Department for Conductiong / Choral Conducting / Wind Orchestra Conducting | Department for Music and Dance Pedagogy - Orff Institute | Department for Drama - Thomas Bernhard Institute | Department for Stage Design | Department for Fine Arts, Art and Craft Education",https://www.4icu.org//i/logos-seals/167.png,Universität Mozarteum Salzburg,https://www.4icu.org/reviews/167.htm,https://en.wikipedia.org/wiki/Mozarteum_University_of_Salzburg,3155
Semesters,Yes,900-999,AAU,Universitätsstrasse 65-67 Klagenfurt  9020 Carinthia Austria,Universitätsstrasse 90 Klagenfurt 9020 (463) 2700 8010,Not available,Suburban,Yes,Public,Yes,Non-Profit,+43 (463) 2700 9299,Yes,"1970 It obtained status of University in 1975. The name of the university is changed to the University of Klagenfurt in 1993, and to Alpen_adria-Universität Klagenfurt in 2004.",Yes,Not reported,,Yes,,Per Aspera ad Astra Through hardships to the stars,None,"None, open admission policy",Yes,"10,000-14,999",Yes,+43 (463) 2700,"Austria

",10,https://www.4icu.org//i/flags/Austria.png,University of Klagenfurt,University of Klagenfurt,University of Klagenfurt,Vienna,https://www.4icu.org//i/screenshots/165.jpg,Department of Humanities | Department of Management and Economics | Department of Technical Sciences | Faculty for Interdisciplinary Studies,https://www.4icu.org//i/logos-seals/165.png,Alpen-Adria-Universität Klagenfurt,https://www.4icu.org/reviews/165.htm,https://en.wikipedia.org/wiki/University_of_Klagenfurt,1120
Semesters,Not reported,"1,500-1,999",PLUS,Kapitelgasse 4 Salzburg  5020 Salzburg Austria,Kapitelgasse 4 Salzburg 5020,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+43 (662) 8044 145,Not reported,1622 The University was founded 1622 as Alma Mater Paridiana. It was closed 1810 and re-opened 1962.,Not reported,Not reported,,Yes,,,None,Not reported,Yes,"15,000-19,999",Yes,+43 (662) 8044 0,"Austria

",14,https://www.4icu.org//i/flags/Austria.png,Paris Lodron University of Salzburg,Paris Lodron University of Salzburg,Paris Lodron University of Salzburg,,https://www.4icu.org//i/screenshots/168.jpg,Department of Catholic Theology | Department of Law | Department of Humanities | Department of Natural Sciences,https://www.4icu.org//i/logos-seals/168.png,Paris-Lodron-Universität Salzburg,https://www.4icu.org/reviews/168.htm,https://en.wikipedia.org/wiki/University_of_Salzburg,1543
Semesters,Not reported,"over-5,000",UNIVIE,Universitätsring 1 Vienna  1010 Vienna Austria,Universitätsring 1 Vienna 1010 (1) 4277 10600,Not available,Urban,Not reported,Public,Yes,Non-Profit,+43 (1) 4277 9100,Not reported,1365 It has a full status of University since 1384,Not reported,Not reported,,Yes,,,None,"None, open admission policy",Yes,"over-45,000",Yes,+43 (1) 4277 0,"Austria

",1,https://www.4icu.org//i/flags/Austria.png,University of Vienna,University of Vienna,University of Vienna,"Langau, Grünau im Almtal, Ernstbrunn, Marchegg, Baden, St. Corona, Mönichkirchen",https://www.4icu.org//i/screenshots/169.jpg,"Department of Catholic Theology | Department of Protestant Theology | Department of Law | Department of Business, Economics and Statistics | Department of Computer Science | Department of Historical-Cultural Sciences | Department of Philological-Cultural Sciences | Department of Philosophy and Educational Sciences | Department of Psychology | Department of Social Sciences | Department of Mathematics | Department of Physics | Department of Chemistry | Department of Earth Sciences, Geography and Astronomy | Department of Life Sciences | Centre for Translation Studies | Centre for Sports Sciences and University Sports",https://www.4icu.org//i/logos-seals/169.png,Universität Wien,https://www.4icu.org/reviews/169.htm,https://en.wikipedia.org/wiki/University_of_Vienna,79
Semesters,Not reported,"2,000-2,499",BOKU,Gregor-Mendel-Strasse 33 Vienna  1180 Vienna Austria,Gregor Mendel Strasse 33 Vienna 1180 (1) 47654 0,Not available,Urban,Yes,Public,Yes,Non-Profit,+43,Not reported,"1872 Former name until 1974 was University of Natural Resources and Applied Life Sciences, Vienna",Not reported,Not reported,,Yes,,Universität des Lebens University of Life,None,"Yes, based on students' past academic record and grades",Not reported,"10,000-14,999",Yes,+43 (1) 47654 0,"Austria

",8,https://www.4icu.org//i/flags/Austria.png,"University of Natural Resources and Life Sciences, Vienna","University of Natural Resources and Life Sciences, Vienna","University of Natural Resources and Life Sciences, Vienna","Tulln, Groß-Enzersdorf, Forchtenstein, Lunz am See",https://www.4icu.org//i/screenshots/170.jpg,"Department of Applied Plant Sciences and Plant Biology | Department of Economic and Social Sciences | Department of Food Science and Technology | Department of Chemistry | Department Water - Atmosphere - Environment | Department of Integrative Biology | Department space, landscape and infrastructure | Department of Civil Engineering and Natural Hazards | Department of Material Science and Process Engineering | Department of Forest and Soil Sciences | Department of Sustainable Agriculture | Department of Biotechnology | Interuniversity Department for Agribiotechnology, IFA-Tulln",https://www.4icu.org//i/logos-seals/170.png,Universität für Bodenkultur Wien,https://www.4icu.org/reviews/170.htm,"https://en.wikipedia.org/wiki/University_of_Natural_Resources_and_Life_Sciences,_Vienna",975
Continuous,Not reported,700-799,ADNSU,"Azadliq prospekti, 20 Baku  AZ0010 Absheron Azerbaijan",,Not reported,Urban,Not reported,Public,Not reported,Non-Profit,+994 (12) 498 2941,Not reported,1920,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"6,000-6,999",Yes,+994 (12) 493 4557,"Azerbaijan

",7,https://www.4icu.org//i/flags/Azerbaijan.png,Azerbaijan State University of Oil and Industry,Azerbaijan State University of Oil and Industry,Azerbaijan State University of Oil and Industry,,https://www.4icu.org//i/screenshots/181.jpg,"Department of Geology and Exploration | Department of Gas, Petroleum and Mining | Department of Chemical Technologies | Department of Petro-mechanics | Department of Energetics | Department of Automatization of Production Processes | Department of Engineering | Department of Economics | Department of International Economic Relationships and Management",https://www.4icu.org//i/logos-seals/181.png,Azerbaycan Dövlet Neft ve Senaye Universiteti,https://www.4icu.org/reviews/181.htm,https://en.wikipedia.org/wiki/Azerbaijan_State_Oil_and_Industrial_University,4525
Semesters,Not reported,600-699,AzTU,"25, H. Javid Avenue Baku  AZ1073 Absheron Azerbaijan","25, H.Javid Ave. Baku AZ1073 (12) 438 3383",90-100%,Urban,Not reported,Public,Not reported,Non-Profit,+994 (12) 438 3280,Not reported,1950,Not reported,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"5,000-5,999",Yes,+994 (12) 438 3343,"Azerbaijan

",6,https://www.4icu.org//i/flags/Azerbaijan.png,Azerbaijan Technical University,Azerbaijan Technical University,Azerbaijan Technical University,,https://www.4icu.org//i/screenshots/182.jpg,School of Automation and computer equipment | School of Radio and Communication | School of Electrical and Energy | School of Transportation | School of Engineering | School of Metallurgy | School of Technological Machines | School of Engineering Business and Management | School of Special Equipment and Technology,https://www.4icu.org//i/logos-seals/182.png,Azerbaycan Texniki Universiteti,https://www.4icu.org/reviews/182.htm,https://en.wikipedia.org/wiki/Azerbaijan_Technical_University,4258
Semesters,Yes,"1,000-1,499",Vetmeduni Vienna,Veterinärplatz 1 Vienna  1210 Vienna Austria,Veterinaerplatz 1 Vienna 1210,20-30%,Urban,Not reported,Public,Not reported,Non-Profit,+43 (1) 25077 1090,Yes,1897 Origins date back to 1767,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"2,000-2,999",Yes,+43 (1) 25077 0,"Austria

",13,https://www.4icu.org//i/flags/Austria.png,"University of Veterinary Medicine, Vienna","University of Veterinary Medicine, Vienna","University of Veterinary Medicine, Vienna",,https://www.4icu.org//i/screenshots/175.jpg,Department for Biomedical Sciences | Department for Pathobiology | Department for Farm Animals and Veterinary Public Health | Department for Companion Animals and Horses | Department of Interdisciplinary Life Sciences,https://www.4icu.org//i/logos-seals/175.png,Veterinärmedizinische Universität Wien,https://www.4icu.org/reviews/175.htm,https://en.wikipedia.org/wiki/University_of_Veterinary_Medicine_Vienna,1512
Semesters,Not reported,"1,500-1,999",WU,Welthandelsplatz 1 Vienna  1020 Vienna Austria,"Welthandelsplatz 1, Building LC Wien 1020 (1) 31336 6210",Not available,Urban,Not reported,Public,Yes,Non-Profit,+43 (1) 31336 720,Yes,"1975 Origins date back to 1898 as Imperial Export Academy. That institution became University of World Trade in 1919 and renamed Wirtschaftsuniversität Wien (WU, Vienna University of Economics and Business) in 1975",Yes,Not reported,,Yes,,,None,"None, open admission policy",Yes,"20,000-24,999",Yes,+43 (1) 31336 0,"Austria

",7,https://www.4icu.org//i/flags/Austria.png,Vienna University of Economics and Business,Vienna University of Economics and Business,Vienna University of Economics and Business,,https://www.4icu.org//i/screenshots/177.jpg,"Department of Business | Employment and Social Security Law | Department of Economics | Department of Finance, Accounting and Statistics | Department of Foreign Language Business Communication | Department of Global Business and Trade | Department of Information Systems and Operations | Department of Management | Department of Marketing | Department of Public Law and Tax Law | Department of Socioeconomics | Department of Strategic Management and Innovation",https://www.4icu.org//i/logos-seals/177.png,Wirtschaftsuniversität Wien,https://www.4icu.org/reviews/177.htm,https://en.wikipedia.org/wiki/Vienna_University_of_Economics_and_Business,910
Semesters,Yes,"1,000-1,499",AMU,A. Gasimzade 14 Baku  AZ1022 Absheron Azerbaijan,A.Gasimzade 14 Baku AZ1022 (12) 597 3857 (12) 597 3722,10-20%,Urban,Not reported,Public,Not reported,Non-Profit,+994 (12) 597 3898,Not reported,1930,Yes,Not reported,,Yes,,"Savoring the past with honor, Looking for future with purpose!",None,"Yes, based on entrance examinations",Yes,"8,000-8,999",Yes,+994 (12) 498 1686,"Azerbaijan

",5,https://www.4icu.org//i/flags/Azerbaijan.png,Azerbaijan Medical University,Azerbaijan Medical University,Azerbaijan Medical University,"Ganja, Naxhchivan, Sumgayit, Lenkeran",https://www.4icu.org//i/screenshots/179.jpg,Department of General Medicine | Department of Dentistry | Department of Pharmacy | Department of Military Medicine | Department of Public Health,https://www.4icu.org//i/logos-seals/179.png,Azerbaycan Tibb Universiteti,https://www.4icu.org/reviews/179.htm,https://en.wikipedia.org/wiki/Azerbaijan_Medical_University,4247
Continuous,Yes,"1,000-1,499",BDU,Academic Zahid Khalilov str. 23 Baku  AZ1073 Absheron Azerbaijan,Academic Zahid Khalilov str. 23 Baku 1073/1 12 5390695,90-100%,Urban,Yes,Public,Not reported,Non-Profit,+994 (12) 439 0557,Yes,1919,Yes,Not reported,,Yes,,,None,"Yes, based on entrance examinations",Yes,"20,000-24,999",Yes,+994 (12) 439 0695,"Azerbaijan

",3,https://www.4icu.org//i/flags/Azerbaijan.png,Baku State University,Baku State University,Baku State University,,https://www.4icu.org//i/screenshots/183.jpg,Department of Applied Mathematics and Economical Cybernetics | Department of Physics | Department of Mechanics and Mathematics | Department of Chemistry | Department of Biology | Department of Ecology and Soil Science | Department of Geology | Department of Geography | Department of History | Department of Philology | Department of International Relations and Economics | Department of Journalism | Department of Law | Department of Oriental Studies | Department of Social Sciences and Psychology | Department of Library Studies,https://www.4icu.org//i/logos-seals/183.png,Baki Dövlet Universiteti,https://www.4icu.org/reviews/183.htm,https://en.wikipedia.org/wiki/Baku_State_University,3061
Semesters,Not reported,300-399,,"11, Mahsati str. Baku  AZ1096 Absheron Azerbaijan",11 Mahsati str. Baku AZ1096 (12) 421 7927,70-80%,Urban,Not reported,Private,Yes,Non-Profit,+994 (12) 498 9379,Yes,1991,Yes,Not reported,,Yes,,Always leading the way,None,"Yes, based on entrance examinations and students' past academic record and grades",Yes,"3,000-3,999",Yes,+994 (12) 421 7927,"Azerbaijan

",4,https://www.4icu.org//i/flags/Azerbaijan.png,Khazar University,Khazar University,Khazar University,,https://www.4icu.org//i/screenshots/184.jpg,School of Engineering and Applied Sciences | School of Economics and Management | School of Education | School of Humanities and Social Sciences | Summer School,https://www.4icu.org//i/logos-seals/184.png,Xezer Universiteti,https://www.4icu.org/reviews/184.htm,https://en.wikipedia.org/wiki/Khazar_University,3688
Not reported,Not reported,Not reported,GU,"Building 1964, Road 4363, Block 743 Sanad   Capital Governorate Bahrain",,Not reported,Not reported,Not reported,Private,Not reported,Not reported,+973 (17) 622 230,Not reported,2001,Not reported,Not reported,,Yes,,Learn and Contribute,None,Not reported,Not reported,Not reported,Not reported,+973 (17) 620 092,"Bahrain

",7,https://www.4icu.org//i/flags/Bahrain.png,الجامعة الخليجیة,الجامعة الخليجیة,الجامعة الخليجیة,,https://www.4icu.org//i/screenshots/191.jpg,College of Administration and Financial Science | College of Computer Engineering and Sciences | College of Engineering | College of Law,https://www.4icu.org//i/logos-seals/191.png,Gulf University,https://www.4icu.org/reviews/191.htm,"https://en.wikipedia.org/wiki/Gulf_University,_Bahrain",8635
Semesters,Not reported,600-699,UoB,PO Box 32038 Sakhir   Southern Governorate Bahrain,,Not reported,Not reported,Not reported,Public,Not reported,Non-Profit,+973 (17) 449 911,Not reported,1986,Not reported,Not reported,,Yes,,Say: My God! increase me in knowledge,None,Not reported,Yes,"10,000-14,999",Yes,+973 (17) 439 996,"Bahrain

",1,https://www.4icu.org//i/flags/Bahrain.png,جامعة البحرين,جامعة البحرين,جامعة البحرين,Isa Town,https://www.4icu.org//i/screenshots/192.jpg,College of Business and Administration | College of Information Technology | College of Engineering | College of Education | Bahrain Teachers' College | College of Science | College of Arts | College of Law | College of Applied Science,https://www.4icu.org//i/logos-seals/192.png,University of Bahrain,https://www.4icu.org/reviews/192.htm,https://en.wikipedia.org/wiki/University_of_Bahrain,2964
